capture_order,priority_tier,list_rank,brand,product_id,handle,title,product_type,category_guess,unit_basis,storefront_url,storefront_sku,ocr_candidate,ocr_candidate_rule,photo_stem,capture_status,capture_date,shop,captured_by,product_name_as_printed,shade_as_printed,item_number_as_printed,barcode_digits,barcode_source,sold_with_carton,net_contents_as_printed,net_contents_location,pack_count,form_as_seen,origin_line_as_printed,photo_front,photo_net_contents,photo_barcode,photo_other,ocr_candidate_confirmed,notes
82,1,174,Physicians Formula,10034470584629,rose-kiss-all-day-glossy-lip-color-xoxo,Rosé Kiss All Day Glossy Lip Color | Xoxo,Lip Gloss,lip_gloss,volume,https://www.physiciansformula.com/products/rose-kiss-all-day-glossy-lip-color-xoxo,1711507,,,174_physicians_formula_rose-kiss-all-day-glossy-lip-color-xoxo,,,,,,,,,,,,,,,,,,,,,
83,1,177,Physicians Formula,10034485428533,eye-booster-eye-lifter,Eye Booster™ Eye Lifter™,Eye Shadows,eyeshadow_single,weight,https://www.physiciansformula.com/products/eye-booster-eye-lifter,1741101,,,177_physicians_formula_eye-booster-eye-lifter,,,,,,,,,,,,,,,,,,,,,
84,1,180,Physicians Formula,10034482512181,butter-bronzer-contour-palette-2,Butter Bronzer Contour Palette | Contour 2,Blushes & Bronzers,bronzer,weight,https://www.physiciansformula.com/products/butter-bronzer-contour-palette-2,1712857,,,180_physicians_formula_butter-bronzer-contour-palette-2,,,,,,,,,,,,,,,,,,,,,
85,1,181,Physicians Formula,10034485133621,murumuru-butter-lip-beach-bronze,Butter Tinted Lip Conditioner | Beach Bronze,Lip Balms,lipstick,weight,https://www.physiciansformula.com/products/murumuru-butter-lip-beach-bronze,1741100,,,181_physicians_formula_murumuru-butter-lip-beach-bronze,,,,,,,,,,,,,,,,,,,,,
86,1,183,Physicians Formula,10034477596981,mineral-wear-diamond-lip-plumper-brilliant-berry-diamond,Mineral Wear® Diamond Lip Plumper | Brilliant Berry Diamond,Lip Gloss,lip_gloss,volume,https://www.physiciansformula.com/products/mineral-wear-diamond-lip-plumper-brilliant-berry-diamond,1712258,,,183_physicians_formula_mineral-wear-diamond-lip-plumper-brilliant-berry-diamond,,,,,,,,,,,,,,,,,,,,,
87,1,186,Physicians Formula,10034479399221,matte-monoi-butter-eyeshadow,Matte Monoi Butter Eyeshadow,Eye Shadows,eyeshadow_single,weight,https://www.physiciansformula.com/products/matte-monoi-butter-eyeshadow,1711941,,,186_physicians_formula_matte-monoi-butter-eyeshadow,,,,,,,,,,,,,,,,,,,,,
88,1,189,Physicians Formula,10034451579189,happy-booster-glow-and-mood-boosting-blush-natural,Happy Booster™ Glow & Mood Boosting Blush | Natural,Blushes & Bronzers,bronzer,weight,https://www.physiciansformula.com/products/happy-booster-glow-and-mood-boosting-blush-natural,7324,,,189_physicians_formula_happy-booster-glow-and-mood-boosting-blush-natural,,,,,,,,,,,,,,,,,,,,,
89,1,190,Physicians Formula,10034484937013,murumuru-butter-lip-pink-paradise,Butter Tinted Lip Conditioner | Pink Paradise,Lip Balms,lipstick,weight,https://www.physiciansformula.com/products/murumuru-butter-lip-pink-paradise,1741098,,,190_physicians_formula_murumuru-butter-lip-pink-paradise,,,,,,,,,,,,,,,,,,,,,
90,1,192,Physicians Formula,10034456133941,plump-potiontm-needle-free-lip-plumping-cocktail-pink-crystal-potion,Plump Potion™ Needle-Free Lip Plumping Cocktail,Lip Balms & Treatments,lip_gloss,volume,https://www.physiciansformula.com/products/plump-potiontm-needle-free-lip-plumping-cocktail-pink-crystal-potion,2214,,,192_physicians_formula_plump-potiontm-needle-free-lip-plumping-cocktail-pink-crystal-potion,,,,,,,,,,,,,,,,,,,,,
91,1,197,Physicians Formula,10034490933557,mineral-wear-diamond-dust-luminous-bronzer,Mineral Wear® Diamond Dust | Luminous Bronzer,Blushes & Bronzers,bronzer,weight,https://www.physiciansformula.com/products/mineral-wear-diamond-dust-luminous-bronzer,1713030,,,197_physicians_formula_mineral-wear-diamond-dust-luminous-bronzer,,,,,,,,,,,,,,,,,,,,,
92,1,198,Physicians Formula,10034483757365,mineral-wear-diamond-last-1,Mineral Wear® Diamond Last | Topaz Taupe,Lipsticks,lipstick,weight,https://www.physiciansformula.com/products/mineral-wear-diamond-last-1,1712799,,,198_physicians_formula_mineral-wear-diamond-last-1,,,,,,,,,,,,,,,,,,,,,
93,1,200,Physicians Formula,10034458034485,ph-matchmaker-ph-powered-lip-gloss,pH Matchmaker pH Powered Lip Gloss,Lip Gloss,lip_gloss,volume,https://www.physiciansformula.com/products/ph-matchmaker-ph-powered-lip-gloss,7598,,,200_physicians_formula_ph-matchmaker-ph-powered-lip-gloss,,,,,,,,,,,,,,,,,,,,,
94,1,201,Wet n Wild,10281060860178,ultimate-brow-brow-pen-medium-brown,Ultimate Brow Brow Pen | Medium Brown,Eyebrow Enhancers,brow,form_dependent,https://www.wetnwildbeauty.com/products/ultimate-brow-brow-pen-medium-brown,11340616,,,201_wet_n_wild_ultimate-brow-brow-pen-medium-brown,,,,,,,,,,,,,,,,,,,,,
95,1,205,Wet n Wild,10099442549010,color-icon-5-pan-palette-full-bloomin,Color Icon 5 Pan Eye & Face Palette | Full Bloomin',Eye Shadows,eyeshadow_single,weight,https://www.wetnwildbeauty.com/products/color-icon-5-pan-palette-full-bloomin,1116148,,,205_wet_n_wild_color-icon-5-pan-palette-full-bloomin,,,,,,,,,,,,,,,,,,,,,
96,1,206,Wet n Wild,10099297779986,megalast-liquid-catsuit-high-shine-lipstick-bad-girl-s-club,MegaLast Liquid Catsuit High-Shine Lipstick | Bad Girl's Club,Lipsticks,liquid_lipstick,volume,https://www.wetnwildbeauty.com/products/megalast-liquid-catsuit-high-shine-lipstick-bad-girl-s-club,968A,,,206_wet_n_wild_megalast-liquid-catsuit-high-shine-lipstick-bad-girl-s-club,,,,,,,,,,,,,,,,,,,,,
97,1,210,Wet n Wild,10281063547154,mega-inky-lip-color-desert-crush,Mega Inky Lip Color | Desert Crush,Lipsticks,lipstick,weight,https://www.wetnwildbeauty.com/products/mega-inky-lip-color-desert-crush,11620594,,,210_wet_n_wild_mega-inky-lip-color-desert-crush,,,,,,,,,,,,,,,,,,,,,
98,1,212,Wet n Wild,10300663431442,chameleon-chrome-lip-foil-heatwave-star,Chameleon Chrome Lip Foil | Heatwave Star,Lip Gloss,lip_gloss,volume,https://www.wetnwildbeauty.com/products/chameleon-chrome-lip-foil-heatwave-star,11620854,,,212_wet_n_wild_chameleon-chrome-lip-foil-heatwave-star,,,,,,,,,,,,,,,,,,,,,
99,1,214,Wet n Wild,10281052537106,mother-fluffer-cloud-bronzer-toasty-maple,Mother Fluffer Cloud Bronzer | Beige Please,Blushes & Bronzers,bronzer,weight,https://www.wetnwildbeauty.com/products/mother-fluffer-cloud-bronzer-toasty-maple,11430589,,,214_wet_n_wild_mother-fluffer-cloud-bronzer-toasty-maple,,,,,,,,,,,,,,,,,,,,,
100,1,215,Wet n Wild,10099435634962,breakup-proof-waterproof-liquid-eyeliner-brown,Breakup Proof Waterproof Liquid Eyeliner | Brown,Eyeliner,brow,form_dependent,https://www.wetnwildbeauty.com/products/breakup-proof-waterproof-liquid-eyeliner-brown,1116146,,,215_wet_n_wild_breakup-proof-waterproof-liquid-eyeliner-brown,,,,,,,,,,,,,,,,,,,,,
101,1,219,Wet n Wild,10099442385170,color-icon-5-pan-palette-gold-whip,Color Icon 5 Pan Eye & Face Palette | Gold Whip,Eye Shadows,eyeshadow_single,weight,https://www.wetnwildbeauty.com/products/color-icon-5-pan-palette-gold-whip,1116147,,,219_wet_n_wild_color-icon-5-pan-palette-gold-whip,,,,,,,,,,,,,,,,,,,,,
102,1,220,Wet n Wild,10099499761938,mega-glitter-shimmer-liquid-lipstick-pink-future,Mega Glitter Shimmer Liquid Lipstick | Pink Future,Lipsticks,liquid_lipstick,volume,https://www.wetnwildbeauty.com/products/mega-glitter-shimmer-liquid-lipstick-pink-future,11623002,,,220_wet_n_wild_mega-glitter-shimmer-liquid-lipstick-pink-future,,,,,,,,,,,,,,,,,,,,,
103,1,224,Wet n Wild,10099437732114,mega-glo-lip-cheek-color-berry-true,Mega Glo Lip & Cheek Color | Berry True,Lipsticks,lipstick,weight,https://www.wetnwildbeauty.com/products/mega-glo-lip-cheek-color-berry-true,1116095,,,224_wet_n_wild_mega-glo-lip-cheek-color-berry-true,,,,,,,,,,,,,,,,,,,,,
104,1,225,Wet n Wild,10099271762194,megaslickstm-lip-gloss-bronze-berry-megaslicks-lip-gloss,MegaSlicks™ Lip Gloss | Bronze Berry,Lip Gloss,lip_gloss,volume,https://www.wetnwildbeauty.com/products/megaslickstm-lip-gloss-bronze-berry-megaslicks-lip-gloss,554B,,,225_wet_n_wild_megaslickstm-lip-gloss-bronze-berry-megaslicks-lip-gloss,,,,,,,,,,,,,,,,,,,,,
105,1,227,Wet n Wild,10300624175378,mother-fluffer-cloud-bronzer-cool-brew,Mother Fluffer Cloud Bronzer | Cool Brew,Blushes & Bronzers,bronzer,weight,https://www.wetnwildbeauty.com/products/mother-fluffer-cloud-bronzer-cool-brew,11430841,,,227_wet_n_wild_mother-fluffer-cloud-bronzer-cool-brew,,,,,,,,,,,,,,,,,,,,,
106,1,228,Wet n Wild,10099338969362,brow-sessive-brow-pencil-taupe,Brow-Sessive Brow Pencil | Taupe,Eyebrow Enhancers,brow,form_dependent,https://www.wetnwildbeauty.com/products/brow-sessive-brow-pencil-taupe,1111888,,,228_wet_n_wild_brow-sessive-brow-pencil-taupe,,,,,,,,,,,,,,,,,,,,,
107,1,232,Wet n Wild,10281059516690,chameleon-chrome-eyeshadow-nebula-rush,Chameleon Chrome Eyeshadow | Nebula Rush,Eye Shadows,eyeshadow_single,weight,https://www.wetnwildbeauty.com/products/chameleon-chrome-eyeshadow-nebula-rush,11340609,,,232_wet_n_wild_chameleon-chrome-eyeshadow-nebula-rush,,,,,,,,,,,,,,,,,,,,,
108,1,233,Wet n Wild,10099500384530,mega-glitter-shimmer-liquid-lipstick-hear-me-out,Mega Glitter Shimmer Liquid Lipstick | Hear Me Out,Lipsticks,liquid_lipstick,volume,https://www.wetnwildbeauty.com/products/mega-glitter-shimmer-liquid-lipstick-hear-me-out,11623001,,,233_wet_n_wild_mega-glitter-shimmer-liquid-lipstick-hear-me-out,,,,,,,,,,,,,,,,,,,,,
109,1,235,Wet n Wild,10099442155794,soft-blur-matte-lipstick-little-red-rosette,Soft Blur Matte Lipstick | Little Red Rosette,Lipsticks,lipstick,weight,https://www.wetnwildbeauty.com/products/soft-blur-matte-lipstick-little-red-rosette,1116141,,,235_wet_n_wild_soft-blur-matte-lipstick-little-red-rosette,,,,,,,,,,,,,,,,,,,,,
110,1,236,Wet n Wild,10099271237906,megaslickstm-lip-gloss-that-s-my-jam-megaslicks-lip-gloss,MegaSlicks™ Lip Gloss | That's My Jam,Lip Gloss,lip_gloss,volume,https://www.wetnwildbeauty.com/products/megaslickstm-lip-gloss-that-s-my-jam-megaslicks-lip-gloss,549B,,,236_wet_n_wild_megaslickstm-lip-gloss-that-s-my-jam-megaslicks-lip-gloss,,,,,,,,,,,,,,,,,,,,,
111,1,238,Wet n Wild,10301860839698,mother-fluffer-cloud-blush-mauve-forever,Mother Fluffer Cloud Blush | Mauve Forever,Blushes & Bronzers,bronzer,weight,https://www.wetnwildbeauty.com/products/mother-fluffer-cloud-blush-mauve-forever,11450839,,,238_wet_n_wild_mother-fluffer-cloud-blush-mauve-forever,,,,,,,,,,,,,,,,,,,,,
112,1,239,Wet n Wild,10281062007058,ultimate-brow-brow-pen-dark-brown,Ultimate Brow Brow Pen | Dark Brown,Eyebrow Enhancers,brow,form_dependent,https://www.wetnwildbeauty.com/products/ultimate-brow-brow-pen-dark-brown,11340617,,,239_wet_n_wild_ultimate-brow-brow-pen-dark-brown,,,,,,,,,,,,,,,,,,,,,
113,1,242,Wet n Wild,10300632203538,chameleon-chrome-eyeshadow-foil-nova-beat,Chameleon Chrome Eyeshadow Foil | Nova Beat,Eye Shadows,eyeshadow_single,weight,https://www.wetnwildbeauty.com/products/chameleon-chrome-eyeshadow-foil-nova-beat,11340849,,,242_wet_n_wild_chameleon-chrome-eyeshadow-foil-nova-beat,,,,,,,,,,,,,,,,,,,,,
114,1,243,Wet n Wild,10099274907922,megalast-liquid-catsuit-matte-lipstick-give-me-mocha,MegaLast Liquid Catsuit Matte Lipstick | Give Me Mocha,Lipsticks,liquid_lipstick,volume,https://www.wetnwildbeauty.com/products/megalast-liquid-catsuit-matte-lipstick-give-me-mocha,925B,,,243_wet_n_wild_megalast-liquid-catsuit-matte-lipstick-give-me-mocha,,,,,,,,,,,,,,,,,,,,,
115,1,245,Wet n Wild,10099441205522,soft-blur-matte-lipstick-apricot-smoothie,Soft Blur Matte Lipstick | Apricot Smoothie,Lipsticks,lipstick,weight,https://www.wetnwildbeauty.com/products/soft-blur-matte-lipstick-apricot-smoothie,1116136,,,245_wet_n_wild_soft-blur-matte-lipstick-apricot-smoothie,,,,,,,,,,,,,,,,,,,,,
116,1,246,Wet n Wild,10099489571090,chameleon-chrome-lip-foil-celestial-dance,Chameleon Chrome Lip Foil | Celestial Dance,Lip Gloss,lip_gloss,volume,https://www.wetnwildbeauty.com/products/chameleon-chrome-lip-foil-celestial-dance,11623006,,,246_wet_n_wild_chameleon-chrome-lip-foil-celestial-dance,,,,,,,,,,,,,,,,,,,,,
117,1,248,Wet n Wild,10300626501906,mother-fluffer-cloud-bronzer-cocoa-crush,Mother Fluffer Cloud Bronzer | Cocoa Crush,Blushes & Bronzers,bronzer,weight,https://www.wetnwildbeauty.com/products/mother-fluffer-cloud-bronzer-cocoa-crush,11430842,,,248_wet_n_wild_mother-fluffer-cloud-bronzer-cocoa-crush,,,,,,,,,,,,,,,,,,,,,
118,1,249,Wet n Wild,10099338838290,brow-sessive-brow-pencil-dark-brown,Brow-Sessive Brow Pencil | Dark Brown,Eyebrow Enhancers,brow,form_dependent,https://www.wetnwildbeauty.com/products/brow-sessive-brow-pencil-dark-brown,1111886,,,249_wet_n_wild_brow-sessive-brow-pencil-dark-brown,,,,,,,,,,,,,,,,,,,,,
119,2,1,ColourPop,7287077503058,pallet-town-shadow-palette,Pallet Town,Shadow Palette,eyeshadow_palette,weight,https://colourpop.com/products/pallet-town-shadow-palette,EyePalette-PalletTown,TOTAL NET WT. 26.5g (0.95oz),amended,001_colourpop_pallet-town-shadow-palette,,,,,,,,,,,,,,,,,,,,,
120,2,6,ColourPop,7524458758226,high-demand-blush-stix,High Demand,Blush Stix,cream_blush,weight,https://colourpop.com/products/high-demand-blush-stix,BlushStix-HighDemand,,,006_colourpop_high-demand-blush-stix,,,,,,,,,,,,,,,,,,,,,
121,2,7,ColourPop,7525266063442,soft-shell-multichrome-highlighter,Soft Shell,Mega Highlighter,highlighter,form_dependent,https://colourpop.com/products/soft-shell-multichrome-highlighter,MultichromeHighlighter-SoftShell,,,007_colourpop_soft-shell-multichrome-highlighter,,,,,,,,,,,,,,,,,,,,,
122,2,12,ColourPop,7006835245138,aurora-stuck-shadow-palette,Aurora Struck,Shadow Palette,eyeshadow_palette,weight,https://colourpop.com/products/aurora-stuck-shadow-palette,EyePalette-AuroraStruck,,,012_colourpop_aurora-stuck-shadow-palette,,,,,,,,,,,,,,,,,,,,,
123,2,16,ColourPop,7524458233938,whimsy-blush-stix,Whimsy,Blush Stix,cream_blush,weight,https://colourpop.com/products/whimsy-blush-stix,BlushStix-Whimsy,,,016_colourpop_whimsy-blush-stix,,,,,,,,,,,,,,,,,,,,,
124,2,17,ColourPop,7494889930834,change-me-mega-highlighter,Change Me,Mega Highlighter,highlighter,form_dependent,https://colourpop.com/products/change-me-mega-highlighter,SSHighlighterCompact-ChangeMe,,,017_colourpop_change-me-mega-highlighter,,,,,,,,,,,,,,,,,,,,,
125,2,22,ColourPop,7587667935314,best-of-both-worlds-shadow-palette,Best of Both Worlds,Shadow Palette,eyeshadow_palette,weight,https://colourpop.com/products/best-of-both-worlds-shadow-palette,EyePalette-BestOfBothWorlds,,,022_colourpop_best-of-both-worlds-shadow-palette,,,,,,,,,,,,,,,,,,,,,
126,2,26,ColourPop,7524465115218,am-i-the-drama-blush-stix,Am I The Drama?,Blush Stix,cream_blush,weight,https://colourpop.com/products/am-i-the-drama-blush-stix,BlushStix-AmITheDrama?,,,026_colourpop_am-i-the-drama-blush-stix,,,,,,,,,,,,,,,,,,,,,
127,2,27,ColourPop,7525265997906,not-a-guppy-multichrome-highlighter,Not A Guppy,Mega Highlighter,highlighter,form_dependent,https://colourpop.com/products/not-a-guppy-multichrome-highlighter,MultichromeHighlighter-NotAGuppy,,,027_colourpop_not-a-guppy-multichrome-highlighter,,,,,,,,,,,,,,,,,,,,,
128,2,31,ColourPop,7524272570450,silver-lining-shadow-palette,Silver Lining,Shadow Palette,eyeshadow_palette,weight,https://colourpop.com/products/silver-lining-shadow-palette,EyePalette-SilverLining,,,031_colourpop_silver-lining-shadow-palette,,,,,,,,,,,,,,,,,,,,,
129,2,35,ColourPop,7554672361554,going-places,Going Places,Blush Stix,cream_blush,weight,https://colourpop.com/products/going-places,BlushStix-GoingPlaces,,,035_colourpop_going-places,,,,,,,,,,,,,,,,,,,,,
130,2,36,ColourPop,7569851613266,pink-aura-super-shock-highlighter,Pink Aura,Super Shock Highlighter,highlighter,form_dependent,https://colourpop.com/products/pink-aura-super-shock-highlighter,SSHighlighter-PinkAura,,,036_colourpop_pink-aura-super-shock-highlighter,,,,,,,,,,,,,,,,,,,,,
131,2,40,ColourPop,7593200615506,eeveelution-shadow-palette,Eeveelution,Shadow Palette,eyeshadow_palette,weight,https://colourpop.com/products/eeveelution-shadow-palette,EyePalette-Eeveelution,,,040_colourpop_eeveelution-shadow-palette,,,,,,,,,,,,,,,,,,,,,
132,2,44,ColourPop,6966140993618,mini-me-blush-stix,Mini Me,Blush Stix,cream_blush,weight,https://colourpop.com/products/mini-me-blush-stix,BlushStix-MiniMe_x,,,044_colourpop_mini-me-blush-stix,,,,,,,,,,,,,,,,,,,,,
133,2,45,ColourPop,7569851580498,platinum-aura-super-shock-highlighter,Platinum Aura,Super Shock Highlighter,highlighter,form_dependent,https://colourpop.com/products/platinum-aura-super-shock-highlighter,SSHighlighter-PlatinumAura,,,045_colourpop_platinum-aura-super-shock-highlighter,,,,,,,,,,,,,,,,,,,,,
134,2,49,ColourPop,7420858925138,a-shadow-of-secrets-shadow-palette,A Shadow of Secrets,Shadow Palette,eyeshadow_palette,weight,https://colourpop.com/products/a-shadow-of-secrets-shadow-palette,EyePalette-AShadowofSecrets,,,049_colourpop_a-shadow-of-secrets-shadow-palette,,,,,,,,,,,,,,,,,,,,,
135,2,51,Essence,7477329625154,jelly-grip-undereye-primer-stick,jelly GRIP undereye primer stick,eye,primer,volume,https://essencemakeup.com/products/jelly-grip-undereye-primer-stick,9490970001,,,051_essence_jelly-grip-undereye-primer-stick,,,,,,,,,,,,,,,,,,,,,
136,2,52,Essence,7386369491010,fix-last-keep-it-perfect-make-up-fixing-spray,fix & LAST keep it PERFECT MAKE-UP FIXING SPRAY,face,setting_spray,volume,https://essencemakeup.com/products/fix-last-keep-it-perfect-make-up-fixing-spray,9490450001,,,052_essence_fix-last-keep-it-perfect-make-up-fixing-spray,,,,,,,,,,,,,,,,,,,,,
137,2,54,Essence,8263664566338,banana-loose-powder,BANANA LOOSE POWDER,face,setting_powder,weight,https://essencemakeup.com/products/banana-loose-powder,9348310001,,,054_essence_banana-loose-powder,,,,,,,,,,,,,,,,,,,,,
138,2,55,Essence,7602105286722,the-nude-edition-eyeshadow-palette,the NUDE edition eyeshadow palette,eye,eyeshadow_palette,weight,https://essencemakeup.com/products/the-nude-edition-eyeshadow-palette,9245850001,,,055_essence_the-nude-edition-eyeshadow-palette,,,,,,,,,,,,,,,,,,,,,
139,2,56,Essence,7603940360258,all-about-soft-glow-fixing-compact-powder-waterproof,soft glow! fixing compact powder waterproof,face,pressed_powder,weight,https://essencemakeup.com/products/all-about-soft-glow-fixing-compact-powder-waterproof,9542500001,8 g/Net Wt. 0.28 oz.,primary,056_essence_all-about-soft-glow-fixing-compact-powder-waterproof,,,,,,,,,,,,,,,,,,,,,
140,2,57,Essence,8249312084034,the-game-edit-blurring-lip-pen,THE game EDIT blurring lip pen,lip,lip_liner,weight,https://essencemakeup.com/products/the-game-edit-blurring-lip-pen,9597520001,,,057_essence_the-game-edit-blurring-lip-pen,,,,,,,,,,,,,,,,,,,,,
141,2,58,Essence,7474058330178,drop-of-sunshine-highlighting-drops,DROP OF sunshine HIGHLIGHTING DROPS,face,highlighter,form_dependent,https://essencemakeup.com/products/drop-of-sunshine-highlighting-drops,9517010001,,,058_essence_drop-of-sunshine-highlighting-drops,,,,,,,,,,,,,,,,,,,,,
142,2,59,Essence,8269881802818,ciao-concealer-sponges,Ciao! concealer sponges,face,concealer,volume,https://essencemakeup.com/products/ciao-concealer-sponges,9622380001,,,059_essence_ciao-concealer-sponges,,,,,,,,,,,,,,,,,,,,,
143,2,66,Essence,6684689432642,double-trouble-mascara-extra-black,DOUBLE TROUBLE MASCARA,eye,mascara,volume,https://essencemakeup.com/products/double-trouble-mascara-extra-black,9337110001|9337150001,,,066_essence_double-trouble-mascara-extra-black,,,,,,,,,,,,,,,,,,,,,
144,2,68,Essence,7493656346690,juicy-bomb-party-jelly-blush,JUICY BOMB PARTY jelly blush,blush,cream_blush,weight,https://essencemakeup.com/products/juicy-bomb-party-jelly-blush,9522450001|9522490001,,,068_essence_juicy-bomb-party-jelly-blush,,,,,,,,,,,,,,,,,,,,,
145,2,69,Essence,7601280319554,jelly-grip-extreme-hydrating-primer,JELLY GRIP EXTREME HYDRATING PRIMER,primer,primer,volume,https://essencemakeup.com/products/jelly-grip-extreme-hydrating-primer,9589660001,,,069_essence_jelly-grip-extreme-hydrating-primer,,,,,,,,,,,,,,,,,,,,,
146,2,70,Essence,7397208260674,fix-last-18h-long-lasting-make-up-fixing-spray,fix & LAST 18h LONG-LASTING MAKE-UP FIXING SPRAY,face,setting_spray,volume,https://essencemakeup.com/products/fix-last-18h-long-lasting-make-up-fixing-spray,9490430001,,,070_essence_fix-last-18h-long-lasting-make-up-fixing-spray,,,,,,,,,,,,,,,,,,,,,
147,2,72,Essence,8222399037506,silky-blur-translucent-loose-setting-powder,silky BLUR TRANSLUCENT LOOSE SETTING POWDER,face,setting_powder,weight,https://essencemakeup.com/products/silky-blur-translucent-loose-setting-powder,9584510001,,,072_essence_silky-blur-translucent-loose-setting-powder,,,,,,,,,,,,,,,,,,,,,
148,2,73,Essence,8231756365890,the-grey-edition-mini-eyeshadow-palette,the GREY edition mini eyeshadow palette,eye,eyeshadow_palette,weight,https://essencemakeup.com/products/the-grey-edition-mini-eyeshadow-palette,9490640001,,,073_essence_the-grey-edition-mini-eyeshadow-palette,,,,,,,,,,,,,,,,,,,,,
149,2,74,Essence,1900499107906,all-about-matt-fixing-compact-powder,all about matt! fixing compact powder,face,pressed_powder,weight,https://essencemakeup.com/products/all-about-matt-fixing-compact-powder,7735540001,,,074_essence_all-about-matt-fixing-compact-powder,,,,,,,,,,,,,,,,,,,,,
150,2,75,Essence,6874362314818,8h-matte-comfort-lipliner,8H Matte Comfort Lipliner,lip,lip_liner,weight,https://essencemakeup.com/products/8h-matte-comfort-lipliner,9384190001|9384230001|9384270001|9384310001|9384350001|9384390001|+11 more,,,075_essence_8h-matte-comfort-lipliner,,,,,,,,,,,,,,,,,,,,,
151,2,76,Essence,7498806624322,polly-pocket-highlighter,Polly Pocket™ X essence highlighter,face,highlighter,form_dependent,https://essencemakeup.com/products/polly-pocket-highlighter,9539730001,,,076_essence_polly-pocket-highlighter,,,,,,,,,,,,,,,,,,,,,
152,2,77,Essence,7595235508290,silky-blur-hydrating-longwear-concealer,silky BLUR HYDRATING LONGWEAR CONCEALER,eye,concealer,volume,https://essencemakeup.com/products/silky-blur-hydrating-longwear-concealer,9541970001|9542010001|9541990001|9542110001|9542030001|9542050001|+14 more,,,077_essence_silky-blur-hydrating-longwear-concealer,,,,,,,,,,,,,,,,,,,,,
153,2,84,Essence,4595150848066,bye-bye-panda-eyes-smudge-proof-volumizing-and-defining-mascara,bye bye panda eyes! smudge-proof volumizing and defining mascara,eye,mascara,volume,https://essencemakeup.com/products/bye-bye-panda-eyes-smudge-proof-volumizing-and-defining-mascara,9246080100,,,084_essence_bye-bye-panda-eyes-smudge-proof-volumizing-and-defining-mascara,,,,,,,,,,,,,,,,,,,,,
154,2,86,Essence,8265549185090,soft-touch-mousse-blush,soft touch mousse blush,blush,cream_blush,weight,https://essencemakeup.com/products/soft-touch-mousse-blush,9516890100|9516910100|9516930100|9516950100,,,086_essence_soft-touch-mousse-blush,,,,,,,,,,,,,,,,,,,,,
155,2,87,Essence,7101360373826,jelly-grip-hydrating-primer,Jelly Grip Hydrating Primer,primer,primer,volume,https://essencemakeup.com/products/jelly-grip-hydrating-primer,9466240100,,,087_essence_jelly-grip-hydrating-primer,,,,,,,,,,,,,,,,,,,,,
156,2,88,Essence,7386358284354,fix-last-instant-matte-make-up-fixing-spray,fix & LAST instant MATTE MAKE-UP FIXING SPRAY,face,setting_spray,volume,https://essencemakeup.com/products/fix-last-instant-matte-make-up-fixing-spray,9490440001,,,088_essence_fix-last-instant-matte-make-up-fixing-spray,,,,,,,,,,,,,,,,,,,,,
157,2,90,Essence,8231421771842,the-peach-edition-mini-eyeshadow-palette,the PEACH edition mini eyeshadow palette,eye,eyeshadow_palette,weight,https://essencemakeup.com/products/the-peach-edition-mini-eyeshadow-palette,9491040001,,,090_essence_the-peach-edition-mini-eyeshadow-palette,,,,,,,,,,,,,,,,,,,,,
158,2,91,Essence,7043166994498,brighten-up-banana-powder-1,BRIGHTEN UP! banana powder,face,pressed_powder,weight,https://essencemakeup.com/products/brighten-up-banana-powder-1,9404720100,,,091_essence_brighten-up-banana-powder-1,,,,,,,,,,,,,,,,,,,,,
159,2,92,Essence,7603958808642,line-n-stain-tattoo-lip-liner,line n' STAIN! TATTOO LIP LINER,lips,lip_liner,weight,https://essencemakeup.com/products/line-n-stain-tattoo-lip-liner,9518500001|9518520001|9521430001,,,092_essence_line-n-stain-tattoo-lip-liner,,,,,,,,,,,,,,,,,,,,,
160,2,93,Essence,7476719321154,baby-got-holo-glow-highlighter-stick,BABY GOT HOLO GLOW highlighter stick,face,highlighter,form_dependent,https://essencemakeup.com/products/baby-got-holo-glow-highlighter-stick,9490310001,,,093_essence_baby-got-holo-glow-highlighter-stick,,,,,,,,,,,,,,,,,,,,,
161,2,94,Essence,7420245737538,correct-conceal-under-eye-brightening-concealer,CORRECT & CONCEAL under eye brightening concealer,face,concealer,volume,https://essencemakeup.com/products/correct-conceal-under-eye-brightening-concealer,9490340001|9498950001|9490350001|9498960001,,,094_essence_correct-conceal-under-eye-brightening-concealer,,,,,,,,,,,,,,,,,,,,,
162,2,100,Essence,8231676641346,what-the-length-extreme-lengthening-mascara-waterproof,what the length! extreme lengthening mascara waterproof,eye,mascara,volume,https://essencemakeup.com/products/what-the-length-extreme-lengthening-mascara-waterproof,9583220001,,,100_essence_what-the-length-extreme-lengthening-mascara-waterproof,,,,,,,,,,,,,,,,,,,,,
163,2,101,Milani,7614107189424,supercharged-highlighter-multistick,Supercharged Highlighter Multistick,,highlighter,form_dependent,https://www.milanicosmetics.com/products/supercharged-highlighter-multistick,FCS225-180,,,101_milani_supercharged-highlighter-multistick,,,,,,,,,,,,,,,,,,,,,
164,2,103,Milani,7599842197680,cheek-kiss-blush-stick-in-luminoso,Cheek Kiss Blush Stick in Luminoso,,cream_blush,weight,https://www.milanicosmetics.com/products/cheek-kiss-blush-stick-in-luminoso,M041110001,,,103_milani_cheek-kiss-blush-stick-in-luminoso,,,,,,,,,,,,,,,,,,,,,
