capture_order,priority_tier,list_rank,brand,product_id,handle,title,product_type,category_guess,unit_basis,storefront_url,storefront_sku,ocr_candidate,ocr_candidate_rule,photo_stem,capture_status,capture_date,shop,captured_by,product_name_as_printed,shade_as_printed,item_number_as_printed,barcode_digits,barcode_source,sold_with_carton,net_contents_as_printed,net_contents_location,pack_count,form_as_seen,origin_line_as_printed,photo_front,photo_net_contents,photo_barcode,photo_other,ocr_candidate_confirmed,notes
19,1,30,ColourPop,7576521834578,dnd-hyper-shine-glossy-lipstick,DND,Hyper Shine Glossy Lipstick,lipstick,weight,https://colourpop.com/products/dnd-hyper-shine-glossy-lipstick,HSGlossyLipstick-DND,,,030_colourpop_dnd-hyper-shine-glossy-lipstick,,,,,,,,,,,,,,,,,,,,,
20,1,32,ColourPop,7569523605586,made-for-me-so-juicy-plumping-gloss-balm,Made For Me,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,volume,https://colourpop.com/products/made-for-me-so-juicy-plumping-gloss-balm,SoJuicyStick-MadeForMe,,,032_colourpop_made-for-me-so-juicy-plumping-gloss-balm,,,,,,,,,,,,,,,,,,,,,
21,1,33,ColourPop,7494883147858,so-dreamy-cloud-whip-liquid-lipstick,So Dreamy,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/so-dreamy-cloud-whip-liquid-lipstick,CloudLiquidLipstick-SoDreamy,,,033_colourpop_so-dreamy-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
22,1,34,ColourPop,7593244262482,jolteon-shadow-stix,Jolteon,Shadow Stix,eyeshadow_single,weight,https://colourpop.com/products/jolteon-shadow-stix,ShadowStix-Jolteon,,,034_colourpop_jolteon-shadow-stix,,,,,,,,,,,,,,,,,,,,,
23,1,37,ColourPop,7141962439,black-n-brown-pencil,Black N' Brown Pencil,Brow Pencil,brow,form_dependent,https://colourpop.com/products/black-n-brown-pencil,BrowPencil-BlackNBrown,,,037_colourpop_black-n-brown-pencil,,,,,,,,,,,,,,,,,,,,,
24,1,38,ColourPop,7556523524178,surfrider-beach-liquid-bronzer,Surfrider Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/surfrider-beach-liquid-bronzer,LiquidBronzer-SurfriderBeach,,,038_colourpop_surfrider-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
25,1,39,ColourPop,7576521179218,airport-crush-hyper-shine-glossy-lipstick,Airport Crush,Hyper Shine Glossy Lipstick,lipstick,weight,https://colourpop.com/products/airport-crush-hyper-shine-glossy-lipstick,HSGlossyLipstick-AirportCrush,,,039_colourpop_airport-crush-hyper-shine-glossy-lipstick,,,,,,,,,,,,,,,,,,,,,
26,1,41,ColourPop,7587820535890,secret-superstar-lip-gloss-keychain,Secret Superstar,Lip Gloss,lip_gloss,volume,https://colourpop.com/products/secret-superstar-lip-gloss-keychain,LipGlossKeychain-SecretSuperstar,,,041_colourpop_secret-superstar-lip-gloss-keychain,,,,,,,,,,,,,,,,,,,,,
27,1,42,ColourPop,7494879150162,cloudy-hour-cloud-whip-liquid-lipstick,Cloudy Hour,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/cloudy-hour-cloud-whip-liquid-lipstick,CloudLiquidLipstick-CloudyHour,,,042_colourpop_cloudy-hour-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
28,1,43,ColourPop,7593244098642,flareon-shadow-stix,Flareon,Shadow Stix,eyeshadow_single,weight,https://colourpop.com/products/flareon-shadow-stix,ShadowStix-Flareon,,,043_colourpop_flareon-shadow-stix,,,,,,,,,,,,,,,,,,,,,
29,1,46,ColourPop,7494887276626,light-brown-brow-boss-pencil,Light Brown,Brow Boss Pencil,brow,form_dependent,https://colourpop.com/products/light-brown-brow-boss-pencil,BrowBossPencil-LightBrown1,,,046_colourpop_light-brown-brow-boss-pencil,,,,,,,,,,,,,,,,,,,,,
30,1,47,ColourPop,7556514086994,west-beach-liquid-bronzer,West Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/west-beach-liquid-bronzer,LiquidBronzer-WestBeach,,,047_colourpop_west-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
31,1,48,ColourPop,7292197732434,transform-ph-lip-balm,Transform,pH Lip Balm,lipstick,weight,https://colourpop.com/products/transform-ph-lip-balm,PHLipstick-Transform,,,048_colourpop_transform-ph-lip-balm,,,,,,,,,,,,,,,,,,,,,
32,1,50,ColourPop,7569523507282,heart-cake-so-juicy-plumping-gloss-balm,Heart Cake,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,volume,https://colourpop.com/products/heart-cake-so-juicy-plumping-gloss-balm,SoJuicyStick-HeartCake,,,050_colourpop_heart-cake-so-juicy-plumping-gloss-balm,,,,,,,,,,,,,,,,,,,,,
33,1,53,Essence,7426663186498,its-bubble-gum-fun-bouncy-blush,it's Bubble Gum fun bouncy blush,blush,powder_blush,weight,https://essencemakeup.com/products/its-bubble-gum-fun-bouncy-blush,9484250001,4.7g/Net Wt. 0.16 oz.,primary,053_essence_its-bubble-gum-fun-bouncy-blush,,,,,,,,,,,,,,,,,,,,,
34,1,60,Essence,6670858780738,eyebrow-designer,eyebrow designer,eye,brow,form_dependent,https://essencemakeup.com/products/eyebrow-designer,5200590001|8498860001|9228290001,,,060_essence_eyebrow-designer,,,,,,,,,,,,,,,,,,,,,
35,1,61,Essence,8274296930370,ciao-lip-balm,Ciao! lip balm,lip,lipstick,weight,https://essencemakeup.com/products/ciao-lip-balm,9622400001,,,061_essence_ciao-lip-balm,,,,,,,,,,,,,,,,,,,,,
36,1,62,Essence,7386168164418,baby-got-bronze-liquid-bronzer,BABY GOT BRONZE liquid bronzer,face,bronzer,weight,https://essencemakeup.com/products/baby-got-bronze-liquid-bronzer,9447410001|9447430001|9491210001|9466220001|9491230001,,,062_essence_baby-got-bronze-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
37,1,63,Essence,8231402078274,mono-eyeshadow-glitter,mono eyeshadow glitter,eye,eyeshadow_single,weight,https://essencemakeup.com/products/mono-eyeshadow-glitter,9583520001|9583570001,,,063_essence_mono-eyeshadow-glitter,,,,,,,,,,,,,,,,,,,,,
38,1,64,Essence,7474601295938,birthday-bomb-shiny-lipgloss,BIRTHDAY BOMB shiny lipgloss,lip,lip_gloss,volume,https://essencemakeup.com/products/birthday-bomb-shiny-lipgloss,9518610001,,,064_essence_birthday-bomb-shiny-lipgloss,,,,,,,,,,,,,,,,,,,,,
39,1,65,Essence,7274166386754,natural-matte-mousse-foundation,NATURAL MATTE MOUSSE FOUNDATION,face,foundation,volume,https://essencemakeup.com/products/natural-matte-mousse-foundation,9394330001|9394340001|9394350001|9394360001|9394380001|9394400001|+4 more,,,065_essence_natural-matte-mousse-foundation,,,,,,,,,,,,,,,,,,,,,
40,1,71,Essence,6874107412546,baby-got-blush,Baby Got Blush,face,powder_blush,weight,https://essencemakeup.com/products/baby-got-blush,9381010001|9381020001|9381030001|9491270001|9490280001,,,071_essence_baby-got-blush,,,,,,,,,,,,,,,,,,,,,
41,1,78,Essence,7045298028610,brow-former,Brow Former,eye,brow,form_dependent,https://essencemakeup.com/products/brow-former,9421480001,,,078_essence_brow-former,,,,,,,,,,,,,,,,,,,,,
42,1,79,Essence,8311636656194,club-soleil-lip-stain,club SOLEIL lip stain,lip,lipstick,weight,https://essencemakeup.com/products/club-soleil-lip-stain,9626030001,,,079_essence_club-soleil-lip-stain,,,,,,,,,,,,,,,,,,,,,
43,1,80,Essence,7387300855874,drop-of-sunshine-bronzing-drops,DROP OF sunshine BRONZING DROPS,face,bronzer,weight,https://essencemakeup.com/products/drop-of-sunshine-bronzing-drops,9490560001,,,080_essence_drop-of-sunshine-bronzing-drops,,,,,,,,,,,,,,,,,,,,,
44,1,81,Essence,7386904920130,prime-like-a-pro-eyeshadow-base,PRIME LIKE A PRO EYESHADOW BASE,eye,eyeshadow_single,weight,https://essencemakeup.com/products/prime-like-a-pro-eyeshadow-base,9485940001,,,081_essence_prime-like-a-pro-eyeshadow-base,,,,,,,,,,,,,,,,,,,,,
45,1,82,Essence,6683394900034,extreme-shine-volume-lipgloss,extreme shine lipgloss,lip,lip_gloss,volume,https://essencemakeup.com/products/extreme-shine-volume-lipgloss,9302800100|9302890100|9302810100|9302850100|9302870200|9302880100|+7 more,,,082_essence_extreme-shine-volume-lipgloss,,,,,,,,,,,,,,,,,,,,,
46,1,83,Essence,7471525560386,foundation-stick,FOUNDATION stick,face,foundation,volume,https://essencemakeup.com/products/foundation-stick,9517170001|9517190001|9517210001|9517230001|9517250001|9517270001|+37 more,,,083_essence_foundation-stick,,,,,,,,,,,,,,,,,,,,,
47,1,89,Essence,8268617482306,ciao-blushlighter,Ciao! blushlighter,blush,powder_blush,weight,https://essencemakeup.com/products/ciao-blushlighter,9622370001,,,089_essence_ciao-blushlighter,,,,,,,,,,,,,,,,,,,,,
48,1,95,Essence,8249350520898,the-game-edit-fix-freeze-brow-gel,THE game EDIT fix & freeze brow gel,eye,brow,form_dependent,https://essencemakeup.com/products/the-game-edit-fix-freeze-brow-gel,9597320001,,,095_essence_the-game-edit-fix-freeze-brow-gel,,,,,,,,,,,,,,,,,,,,,
49,1,96,Essence,7601703977026,hydra-kiss-lip-tint,hydra kiss LIP TINT,lip,lipstick,weight,https://essencemakeup.com/products/hydra-kiss-lip-tint,9542860001|9542880001|9542900001|9542920001|9542940001|9542970001|+2 more,,,096_essence_hydra-kiss-lip-tint,,,,,,,,,,,,,,,,,,,,,
50,1,97,Essence,7605335523394,soft-touch-butter-bronzer,soft TOUCH BUTTER BRONZER,face,bronzer,weight,https://essencemakeup.com/products/soft-touch-butter-bronzer,9542560001|9546870001|9546890001|9546910001,,,097_essence_soft-touch-butter-bronzer,,,,,,,,,,,,,,,,,,,,,
51,1,98,Essence,8231712784450,mono-eyeshadow-matte,mono eyeshadow matte,eye,eyeshadow_single,weight,https://essencemakeup.com/products/mono-eyeshadow-matte,9583440001,,,098_essence_mono-eyeshadow-matte,,,,,,,,,,,,,,,,,,,,,
52,1,99,Essence,7618356478018,choco-bomb-shiny-lipgloss,CHOCO BOMB shiny lipgloss,lip,lip_gloss,volume,https://essencemakeup.com/products/choco-bomb-shiny-lipgloss,9585160001,,,099_essence_choco-bomb-shiny-lipgloss,,,,,,,,,,,,,,,,,,,,,
53,1,102,Milani,7241261678768,gilded-eyeshadow-sticks,Gilded Eyeshadow Sticks,,eyeshadow_single,weight,https://www.milanicosmetics.com/products/gilded-eyeshadow-sticks,M0171000001|M0171100001|M0171200001|M0171300001|M0171400001|M0171500001|+6 more,,,102_milani_gilded-eyeshadow-sticks,,,,,,,,,,,,,,,,,,,,,
54,1,104,Milani,1594921255006,amore-satin-matte-lip-creme,Amore Satin Matte Lip Crème,,liquid_lipstick,volume,https://www.milanicosmetics.com/products/amore-satin-matte-lip-creme,MASM-01|MASM-02|MASM-07|MASM-09,,,104_milani_amore-satin-matte-lip-creme,,,,,,,,,,,,,,,,,,,,,
55,1,106,Milani,7965708910768,baked-blush-1,Baked Blush,,powder_blush,weight,https://www.milanicosmetics.com/products/baked-blush-1,L104001001|L104002001|L104003001|L104005001|L104016001|L104017001|+2 more,,,106_milani_baked-blush-1,,,,,,,,,,,,,,,,,,,,,
56,1,109,Milani,6662847299760,supercharged-lip-balm,Supercharged Lip Balm,,lipstick,weight,https://www.milanicosmetics.com/products/supercharged-lip-balm,LBA225-130,,,109_milani_supercharged-lip-balm,,,,,,,,,,,,,,,,,,,,,
57,1,110,Milani,7266762162352,copy-of-fruit-fetish-lip-oils-1,Fruit Fetish Lip Oils - Strawberry Melon,,lip_gloss,volume,https://www.milanicosmetics.com/products/copy-of-fruit-fetish-lip-oils-1,LOI175-120,,,110_milani_copy-of-fruit-fetish-lip-oils-1,,,,,,,,,,,,,,,,,,,,,
58,1,112,Milani,11809809807,stay-put-brow-pomade,Stay Put® Brow Color,,brow,form_dependent,https://www.milanicosmetics.com/products/stay-put-brow-pomade,MBRP-01|MBRP-02|MBRP-03|MBRP-04|MBRP-05,,,112_milani_stay-put-brow-pomade,,,,,,,,,,,,,,,,,,,,,
59,1,117,Milani,7965723263152,baked-bronzer-1,Baked Bronzer,,bronzer,weight,https://www.milanicosmetics.com/products/baked-bronzer-1,M067001001|M067002001|M067003001|M067004001,,,117_milani_baked-bronzer-1,,,,,,,,,,,,,,,,,,,,,
60,1,118,Milani,7749259493552,conceal-perfect-blur-out-skin-tint,Conceal + Perfect Blur Out Skin Tint,,foundation,volume,https://www.milanicosmetics.com/products/conceal-perfect-blur-out-skin-tint,M048001001|M048002001|M048003001|M048004001|M048005001|M048006001|+19 more,,,118_milani_conceal-perfect-blur-out-skin-tint,,,,,,,,,,,,,,,,,,,,,
61,1,121,Milani,11798771663,amore-matte-lip-creme,Amore Matte Lip Crème,,liquid_lipstick,volume,https://www.milanicosmetics.com/products/amore-matte-lip-creme,MALC-11,,,121_milani_amore-matte-lip-creme,,,,,,,,,,,,,,,,,,,,,
62,1,123,Milani,11809813711,rose-powder-blush,Rose Powder Blush,,powder_blush,weight,https://www.milanicosmetics.com/products/rose-powder-blush,MRB-01|MRB-05|MRB-08|MRB-11|FBL128-13,,,123_milani_rose-powder-blush,,,,,,,,,,,,,,,,,,,,,
63,1,126,Milani,11809811983,color-statement-lipstick,Color Statement Lipstick,,lipstick,weight,https://www.milanicosmetics.com/products/color-statement-lipstick,MLSN-03|MLSN-05|MLSN-07|MLSN-09|MLSN-11|MLSN-17|+9 more,,,126_milani_color-statement-lipstick,,,,,,,,,,,,,,,,,,,,,
64,1,127,Milani,8091229552816,highly-rated-diamond-lip-gloss-sca_clone_freegift,🎁 Highly Rated Diamond Lip Gloss (100% off),,lip_gloss,volume,https://www.milanicosmetics.com/products/highly-rated-diamond-lip-gloss-sca_clone_freegift,LGL184-100,,,127_milani_highly-rated-diamond-lip-gloss-sca_clone_freegift,,,,,,,,,,,,,,,,,,,,,
65,1,129,Milani,4343275257950,the-clear-brow,The Clear Brow,,brow,form_dependent,https://www.milanicosmetics.com/products/the-clear-brow,BBG194-110,,,129_milani_the-clear-brow,,,,,,,,,,,,,,,,,,,,,
66,1,133,Milani,1594921451614,silky-matte-bronzing-powder,Silky Matte Bronzing Powder,,bronzer,weight,https://www.milanicosmetics.com/products/silky-matte-bronzing-powder,MMBT-01|MMBT-02|MMBT-03,,,133_milani_silky-matte-bronzing-powder,,,,,,,,,,,,,,,,,,,,,
67,1,136,Milani,7219891273904,stay-put-liquid-lip,Stay Put Liquid Lip Longwear Lipstick,,liquid_lipstick,volume,https://www.milanicosmetics.com/products/stay-put-liquid-lip,M0061100001|M0061200001|M0061300001|M0061400001|M0061500001|M0061600001|+7 more,,,136_milani_stay-put-liquid-lip,,,,,,,,,,,,,,,,,,,,,
68,1,138,Milani,7691328553136,cheek-kiss-blush-glow,Cheek Kiss Blush + Glow,,powder_blush,weight,https://www.milanicosmetics.com/products/cheek-kiss-blush-glow,M023110001|M023120001|M023130001|M023140001|M023150001|M023160001,,,138_milani_cheek-kiss-blush-glow,,,,,,,,,,,,,,,,,,,,,
69,1,140,Milani,7057313497264,color-fetish-balm-lipstick-voyeur,Color Fetish Balm Lipstick - Voyeur,,lipstick,weight,https://www.milanicosmetics.com/products/color-fetish-balm-lipstick-voyeur,LLS176-160,,,140_milani_color-fetish-balm-lipstick-voyeur,,,,,,,,,,,,,,,,,,,,,
70,1,141,Milani,7266761408688,copy-of-fruit-fetish-lip-oils,Fruit Fetish Lip Oils - Passionfruit Coconut,,lip_gloss,volume,https://www.milanicosmetics.com/products/copy-of-fruit-fetish-lip-oils,LOI175-110,,,141_milani_copy-of-fruit-fetish-lip-oils,,,,,,,,,,,,,,,,,,,,,
71,1,143,Milani,4545713766494,weekend-brow-eyebrow-tint,Weekend Brow Eyebrow Tint,,brow,form_dependent,https://www.milanicosmetics.com/products/weekend-brow-eyebrow-tint,BLL206-120|BLL206-130|BLL206-140,,,143_milani_weekend-brow-eyebrow-tint,,,,,,,,,,,,,,,,,,,,,
