list_rank,brand_rank,brand,product_id,handle,title,product_type,category_guess,category_basis,storefront_url,image_count,image_urls,catalogue_file,catalogue_collected_at
45,45,ColourPop,7569851580498,platinum-aura-super-shock-highlighter,Platinum Aura,Super Shock Highlighter,highlighter,highlighter <- 'highlight' in product_type|title,https://colourpop.com/products/platinum-aura-super-shock-highlighter,7,https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_ProductStylized_Pillow.jpg?v=1776788208|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_Swatch.jpg?v=1786281149|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_Model_FullFace.jpg?v=1776788208|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_Infographic.jpg?v=1776788208|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_Model_FullFace_Grid.jpg?v=1776788208|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_ProductStylized.jpg?v=1776788208|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_SuperShockHighlighter_PlatinumAura_ECOM.jpg?v=1786281172,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
46,46,ColourPop,7494887276626,light-brown-brow-boss-pencil,Light Brown,Brow Boss Pencil,brow,brow <- 'brow' in product_type|title,https://colourpop.com/products/light-brown-brow-boss-pencil,9,https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_LightBrown_ECOM.jpg?v=1766261932|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Macro_Eye_Grid.jpg?v=1766262267|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Model_Claims.jpg?v=1766261741|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_ArmSwatch.jpg?v=1766261741|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBoss_ContentCard_Mobile_369x562_9d5b881a-25a7-4afa-bc67-f4e81d365846.jpg?v=1770680652|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Product_Stylized.jpg?v=1770680645|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Model_Infographic.jpg?v=1770680645|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Infographic.jpg?v=1770680652,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
47,47,ColourPop,7556514086994,west-beach-liquid-bronzer,West Beach,Liquid Bronzer,bronzer,bronzer <- 'bronzer' in product_type|title,https://colourpop.com/products/west-beach-liquid-bronzer,9,https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_ECOM.jpg?v=1786233438|https://cdn.shopify.com/s/files/1/1338/0845/files/Liquid_Bronzer_West_Beach_Swatch.jpg?v=1786233456|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_Model_FullFace.jpg?v=1776360259|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_BeforeandAfter.jpg?v=1776360259|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_ArmSwatch.png?v=1776360259|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_Infographic.jpg?v=1776360259|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_Model_Face_Grid.jpg?v=1776360259|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_WestBeach_FindYourShade.jpg?v=1776360259,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
48,48,ColourPop,7292197732434,transform-ph-lip-balm,Transform,pH Lip Balm,lipstick,lipstick <- 'lip balm' in product_type|title,https://colourpop.com/products/transform-ph-lip-balm,8,https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstick-Transform-Into.jpg?v=1713894363|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstick-Transform_1532.jpg?v=1726852094|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstick-Transform-Lip-Swatch_e8559057-0a4d-4761-891a-87b49d7a756f.jpg?v=1726852448|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstick-Transform-Lip-Swatch_8bd84a1f-44f5-4ebe-9e03-c6a8593101ab.jpg?v=1726852447|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstickPokemonBAGIF_0f95067a-ecc6-4250-8fd8-1ceb32112637.gif?v=1713894384|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstick-Transform-Swatch.jpg?v=1713894366|https://cdn.shopify.com/s/files/1/1338/0845/files/Bundle-KantoRegionCuties-Flatlay-on-Matching-with-UC_84911ff6-8ebc-4f95-b13b-f110a05822f7.jpg?v=1713894377|https://cdn.shopify.com/s/files/1/1338/0845/files/PHLipstick-Transform-with-UC.jpg?v=1715222536,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
49,49,ColourPop,7420858925138,a-shadow-of-secrets-shadow-palette,A Shadow of Secrets,Shadow Palette,eyeshadow_palette,eyeshadow_palette <- 'shadow palette' in product_type|title,https://colourpop.com/products/a-shadow-of-secrets-shadow-palette,7,https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-AShadowofSecrets-Stylized-Into-Lit.jpg?v=1736969062|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-AShadowofSecrets-Stylized-TopDown-with-UC.jpg?v=1736969067|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette_AShadowofSecrets_IcyPlum_7023.jpg?v=1736969070|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette_AShadowofSecrets_Berry_7162.jpg?v=1736969073|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette_AShadowofSecrets_Silver_7324.jpg?v=1736969075|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-AShadowofSecrets-ArmSwatch.jpg?v=1736990587|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-AShadowofSecrets-Open.jpg?v=1736989905,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
50,50,ColourPop,7569523507282,heart-cake-so-juicy-plumping-gloss-balm,Heart Cake,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,lip_gloss <- 'plumping' in product_type|title,https://colourpop.com/products/heart-cake-so-juicy-plumping-gloss-balm,6,https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_HeartCake_ECOM.jpg?v=1779905142|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_HeartCake_Macro_Lip_Grid_Swatch.jpg?v=1779905142|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyPlumpingGlossBalmStick_DinnerDate_ArmSwatch.jpg?v=1779999726|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyPlumpingGlossBalmStick_DinnerDate_Swatch_ShadeName.jpg?v=1779999726|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_MadeforMe_Infographic.jpg?v=1779905113|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_HeartCake_Swatch.jpg?v=1786239023,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
51,1,Essence,7477329625154,jelly-grip-undereye-primer-stick,jelly GRIP undereye primer stick,eye,primer,primer <- 'primer' in product_type|title,https://essencemakeup.com/products/jelly-grip-undereye-primer-stick,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490971_7.png?v=1746635260|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490971_6.png?v=1746635260|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490971_1.png?v=1746635260|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490971_2.png?v=1746635260|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490971_3.png?v=1746635260,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
52,2,Essence,7386369491010,fix-last-keep-it-perfect-make-up-fixing-spray,fix & LAST keep it PERFECT MAKE-UP FIXING SPRAY,face,setting_spray,setting_spray <- 'fixing spray' in product_type|title,https://essencemakeup.com/products/fix-last-keep-it-perfect-make-up-fixing-spray,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490452_3.png?v=1733161675|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490452_2.png?v=1733161675|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490452_1.png?v=1733161675|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490452_7.png?v=1733161675|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490452_4.png?v=1733161675,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
53,3,Essence,7426663186498,its-bubble-gum-fun-bouncy-blush,it's Bubble Gum fun bouncy blush,blush,powder_blush,powder_blush <- 'blush' in product_type|title,https://essencemakeup.com/products/its-bubble-gum-fun-bouncy-blush,4,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729484253_1.png?v=1736976277|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729484253_2.png?v=1736976277|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729484253_4.png?v=1736976277|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729484253_5.png?v=1736976277,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
54,4,Essence,8263664566338,banana-loose-powder,BANANA LOOSE POWDER,face,setting_powder,setting_powder <- 'loose powder' in product_type|title,https://essencemakeup.com/products/banana-loose-powder,9,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_6.png?v=1780431167|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_5.png?v=1780431168|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_1.png?v=1780431168|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_3.png?v=1780431168|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_2.png?v=1780431167|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_4.png?v=1780431167|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_9.png?v=1780431167|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729348319_8.png?v=1780431168,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
55,5,Essence,7602105286722,the-nude-edition-eyeshadow-palette,the NUDE edition eyeshadow palette,eye,eyeshadow_palette,eyeshadow_palette <- 'eyeshadow palette' in product_type|title,https://essencemakeup.com/products/the-nude-edition-eyeshadow-palette,9,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_1_496f956b-b715-4b52-8654-7670eb356930.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_3_bcfe4b7d-307d-4ec8-b30e-a0d312b42620.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_5.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_4.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_6.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_7.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_10.png?v=1763994730|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729245854_8.png?v=1763994730,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
56,6,Essence,7603940360258,all-about-soft-glow-fixing-compact-powder-waterproof,soft glow! fixing compact powder waterproof,face,pressed_powder,pressed_powder <- 'compact powder' in product_type|title,https://essencemakeup.com/products/all-about-soft-glow-fixing-compact-powder-waterproof,6,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729542502_5.png?v=1764005388|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729542502_4.png?v=1764005388|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729542502_3.png?v=1764005388|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729542502_2.png?v=1764005388|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729542502_1.png?v=1764005388|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729542502_6.png?v=1764005388,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
57,7,Essence,8249312084034,the-game-edit-blurring-lip-pen,THE game EDIT blurring lip pen,lip,lip_liner,lip_liner <- 'lip pen' in product_type|title,https://essencemakeup.com/products/the-game-edit-blurring-lip-pen,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729597526_1.png?v=1779292936|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729597526_3.png?v=1779292936|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729597526_4.png?v=1779292936|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729597526_5.png?v=1779292936|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729597526_2.png?v=1779292936,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
58,8,Essence,7474058330178,drop-of-sunshine-highlighting-drops,DROP OF sunshine HIGHLIGHTING DROPS,face,highlighter,highlighter <- 'highlight' in product_type|title,https://essencemakeup.com/products/drop-of-sunshine-highlighting-drops,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729517012_1.png?v=1753294124|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729517012_2.png?v=1753294124|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729517012_7.png?v=1746645387|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729517012_8.png?v=1746645387|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729517012_3.png?v=1746645387,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
59,9,Essence,8269881802818,ciao-concealer-sponges,Ciao! concealer sponges,face,concealer,concealer <- 'concealer' in product_type|title,https://essencemakeup.com/products/ciao-concealer-sponges,4,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622389_2.png?v=1781646932|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622389_4.png?v=1781646932|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622389_3.png?v=1781646932|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622389_1.png?v=1781646932,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
60,10,Essence,6670858780738,eyebrow-designer,eyebrow designer,eye,brow,brow <- 'eyebrow' in product_type|title,https://essencemakeup.com/products/eyebrow-designer,5,https://cdn.shopify.com/s/files/1/1115/2926/products/EyebrowdesignerClosed02.png?v=1635441905|https://cdn.shopify.com/s/files/1/1115/2926/products/4250338498864_essenceeyebrowDESIGNER04_Website_ProductFrontViewFullOpen.png?v=1743009117|https://cdn.shopify.com/s/files/1/1115/2926/products/4250338498864_essenceeyebrowDESIGNER04_Website_ProductFrontViewClosed.png?v=1743009117|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729228291_essenceeyebrowDESIGNER11_Website_ProductFrontViewClosed.png?v=1635443976|https://cdn.shopify.com/s/files/1/1115/2926/files/4250338498864_1.png?v=1730217341,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
61,11,Essence,8274296930370,ciao-lip-balm,Ciao! lip balm,lip,lipstick,lipstick <- 'lip balm' in product_type|title,https://essencemakeup.com/products/ciao-lip-balm,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622402_2.png?v=1781649717|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622402_4.png?v=1781649717|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622402_5.png?v=1781649717|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622402_3.png?v=1781649717|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729622402_1.png?v=1781649717,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
62,12,Essence,7386168164418,baby-got-bronze-liquid-bronzer,BABY GOT BRONZE liquid bronzer,face,bronzer,bronzer <- 'bronzer' in product_type|title,https://essencemakeup.com/products/baby-got-bronze-liquid-bronzer,37,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_6.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_5.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_8.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_1.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_2.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_3.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_4.png?v=1732557473|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729447418_7.png?v=1732557473,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
63,13,Essence,8231402078274,mono-eyeshadow-glitter,mono eyeshadow glitter,eye,eyeshadow_single,eyeshadow_single <- 'eyeshadow' in product_type|title,https://essencemakeup.com/products/mono-eyeshadow-glitter,18,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_8.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_1.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_5.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_7.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_6.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_2.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_4.png?v=1777574215|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729583529_3.png?v=1777574215,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
64,14,Essence,7474601295938,birthday-bomb-shiny-lipgloss,BIRTHDAY BOMB shiny lipgloss,lip,lip_gloss,lip_gloss <- 'lipgloss' in product_type|title,https://essencemakeup.com/products/birthday-bomb-shiny-lipgloss,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729518613_10.png?v=1746647754|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729518613_11.png?v=1746647754|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729518613_12.png?v=1746647754|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729518613_9.png?v=1746647766|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729518613_5.png?v=1746647766,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
65,15,Essence,7274166386754,natural-matte-mousse-foundation,NATURAL MATTE MOUSSE FOUNDATION,face,foundation,foundation <- 'foundation' in product_type|title,https://essencemakeup.com/products/natural-matte-mousse-foundation,71,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394330_6.png?v=1718211729|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394330_5.png?v=1718211713|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394330_1.png?v=1718211716|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394330_4.png?v=1718211750|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394330_3.png?v=1718211745|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394330_2.png?v=1718211742|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394347_6.png?v=1718211731|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729394347_5.png?v=1718211715,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
66,16,Essence,6684689432642,double-trouble-mascara-extra-black,DOUBLE TROUBLE MASCARA,eye,mascara,mascara <- 'mascara' in product_type|title,https://essencemakeup.com/products/double-trouble-mascara-extra-black,13,https://cdn.shopify.com/s/files/1/1115/2926/products/4059729337115_essenceDOUBLETROUBLEMASCARAEXTRABLACK_Website_ProductFrontViewFullOpen.png?v=1638395030|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729337115_essenceDOUBLETROUBLEMASCARAEXTRABLACK_Website_ProductFrontViewClosed.png?v=1638395030|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729337115_essenceDOUBLETROUBLEMASCARAEXTRABLACK_Website_ProductTexture.png?v=1743013780|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729337115_essenceDOUBLETROUBLEMASCARAEXTRABLACK_Website_ApplicationFullFaceFair.png?v=1743013780|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729337115_essenceDOUBLETROUBLEMASCARAEXTRABLACK_Website_ApplicationMakroLight.png?v=1743013780|https://cdn.shopify.com/s/files/1/1115/2926/products/20210812_Essence_Beauty_SHOT_30_B_105.jpg?v=1743013780|https://cdn.shopify.com/s/files/1/1115/2926/products/20210812_Essence_Beauty_SHOT_29_D_166.jpg?v=1743013780|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729337153_essenceDOUBLETROUBLEMASCARAWATERPROOF_Website_ProductFrontViewFullOpen_4793dbe3-0aef-40b2-921e-e62a45bab1d5.png?v=1743013780,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
67,17,Essence,7498344988738,aloha-babes-liquid-blush,"aloha, babes! liquid blush",blush,liquid_blush,liquid_blush <- 'liquid blush' in product_type|title,https://essencemakeup.com/products/aloha-babes-liquid-blush,4,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729541772_1.png?v=1750107475|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729541772_2.png?v=1750107475|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729541772_4.png?v=1750107475|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729541772_5.png?v=1750107475,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
68,18,Essence,7493656346690,juicy-bomb-party-jelly-blush,JUICY BOMB PARTY jelly blush,blush,cream_blush,cream_blush <- 'jelly blush' in product_type|title,https://essencemakeup.com/products/juicy-bomb-party-jelly-blush,12,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522450_2.png?v=1749499783|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522450_5.png?v=1749499783|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522450_6.png?v=1749499783|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522450_4.png?v=1749499783|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522450_3.png?v=1749499783|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522450_1.png?v=1749499783|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522498_2.png?v=1749500474|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729522498_6.png?v=1749500474,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
69,19,Essence,7601280319554,jelly-grip-extreme-hydrating-primer,JELLY GRIP EXTREME HYDRATING PRIMER,primer,primer,primer <- 'primer' in product_type|title,https://essencemakeup.com/products/jelly-grip-extreme-hydrating-primer,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729589668_1.png?v=1763577833|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729589668_4.png?v=1763577833|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729589668_5.png?v=1763577833|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729589668_3.png?v=1763577833|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729589668_2.png?v=1763577833,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
70,20,Essence,7397208260674,fix-last-18h-long-lasting-make-up-fixing-spray,fix & LAST 18h LONG-LASTING MAKE-UP FIXING SPRAY,face,setting_spray,setting_spray <- 'fixing spray' in product_type|title,https://essencemakeup.com/products/fix-last-18h-long-lasting-make-up-fixing-spray,5,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490438_3.png?v=1734379636|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490438_2.png?v=1734379636|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490438_1.png?v=1734379636|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490438_5.png?v=1734379636|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490438_4.png?v=1734379636,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
71,21,Essence,6874107412546,baby-got-blush,Baby Got Blush,face,powder_blush,powder_blush <- 'blush' in product_type|title,https://essencemakeup.com/products/baby-got-blush,33,https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381019_Image_FrontViewFullOpen.png?v=1673312190|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381019_Image_FrontViewClosed.png?v=1673312190|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381019_ess.babygotblush10.jpg?v=1700578178|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381019_Application_FullFaceFair.png?v=1700578178|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381019_Application_FullFaceLight.png?v=1700578178|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729491275_Application_SwatchTogether_9e398541-31d1-4c9a-ac95-d31188c53a54.png?v=1700578178|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381026_Image_FrontViewFullOpen.png?v=1700578178|https://cdn.shopify.com/s/files/1/1115/2926/products/4059729381026_Image_FrontViewClosed.png?v=1700578178,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
72,22,Essence,8222399037506,silky-blur-translucent-loose-setting-powder,silky BLUR TRANSLUCENT LOOSE SETTING POWDER,face,setting_powder,setting_powder <- 'translucent' in product_type|title,https://essencemakeup.com/products/silky-blur-translucent-loose-setting-powder,7,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_7.png?v=1776952847|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_6.png?v=1776952847|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_3.png?v=1776952846|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_2.png?v=1776952847|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_1.png?v=1776952847|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_5.png?v=1776952847|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729584519_8.png?v=1776952847,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
73,23,Essence,8231756365890,the-grey-edition-mini-eyeshadow-palette,the GREY edition mini eyeshadow palette,eye,eyeshadow_palette,eyeshadow_palette <- 'eyeshadow palette' in product_type|title,https://essencemakeup.com/products/the-grey-edition-mini-eyeshadow-palette,8,https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_1.png?v=1777667857|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_6.png?v=1777667857|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_7.png?v=1777667857|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_8.png?v=1777667857|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_3.png?v=1777667856|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_4.png?v=1777667857|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_5.png?v=1777667857|https://cdn.shopify.com/s/files/1/1115/2926/files/4059729490643_2.png?v=1777667857,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
74,24,Essence,1900499107906,all-about-matt-fixing-compact-powder,all about matt! fixing compact powder,face,pressed_powder,pressed_powder <- 'compact powder' in product_type|title,https://essencemakeup.com/products/all-about-matt-fixing-compact-powder,3,https://cdn.shopify.com/s/files/1/1115/2926/products/All_About_Matt_Fixing_Compact_Powder_Closed.png?v=1581109271|https://cdn.shopify.com/s/files/1/1115/2926/files/4250587735543_Application_FullFaceFair.png?v=1695657415|https://cdn.shopify.com/s/files/1/1115/2926/files/4250587735543_Application_FullFaceMedium.png?v=1695657415,shopify_essence.json,2026-08-21T20:14:32.033787+00:00
